date,includes_entity,includes_officer,includes_intermediary
1994-10-01,42715,4523,38890
1994-11-01,43782,4640,39840
1994-12-01,44597,4761,40534
1995-01-01,42477,4841,38334
1995-02-01,44672,4995,40375
1995-03-01,45833,5083,41448
1995-04-01,47214,5204,42708
1995-05-01,48025,5319,43404
1995-06-01,48966,5416,44248
1995-07-01,50012,5502,45208
1995-08-01,51188,5617,46269
1995-09-01,52431,5722,47407
1995-10-01,53745,5966,48477
1995-11-01,54786,6105,49379
1995-12-01,55605,6250,50053
1996-01-01,56233,6380,50551
1996-02-01,54857,6559,48996
1996-03-01,56278,6682,50294
1996-04-01,57723,6843,51578
1996-05-01,58738,6964,52472
1996-06-01,59830,7097,53431
1996-07-01,61279,7258,54719
1996-08-01,62880,7439,56139
1996-09-01,64169,7563,57304
1996-10-01,65775,7724,58749
1996-11-01,66891,7897,59692
1996-12-01,67498,8127,60069
1997-01-01,68554,8449,60803
1997-02-01,71504,8717,63485
1997-03-01,73426,8961,65163
1997-04-01,75093,9187,66604
1997-05-01,77326,9507,68517
1997-06-01,78923,9714,69907
1997-07-01,82044,9942,72800
1997-08-01,84282,10165,74815
1997-09-01,86658,10343,77013
1997-10-01,89451,10594,79555
1997-11-01,84476,10737,74437
1997-12-01,85476,11056,75118
1998-01-01,86304,11220,75782
1998-02-01,86181,11510,75369
1998-03-01,88092,11786,77004
1998-04-01,90534,12058,79174
1998-05-01,91884,12298,80284
1998-06-01,92875,12527,81046
1998-07-01,95533,12789,83442
1998-08-01,97178,13051,84825
1998-09-01,98733,13349,86082
1998-10-01,100270,13601,87367
1998-11-01,101072,13786,87984
1998-12-01,101503,13978,88223
1999-01-01,92924,14118,79504
1999-02-01,94839,14484,81053
1999-03-01,96355,14704,82349
1999-04-01,98574,15006,84266
1999-05-01,99764,15249,85213
1999-06-01,100916,15533,86081
1999-07-01,102951,15850,87799
1999-08-01,105093,16142,89649
1999-09-01,107446,16421,91723
1999-10-01,109706,16860,93544
1999-11-01,111016,17214,94500
1999-12-01,112058,17679,95077
2000-01-01,113102,18017,95783
2000-02-01,101185,18440,83443
2000-03-01,104145,18914,85929
2000-04-01,107065,19580,88183
2000-05-01,108886,20123,89461
2000-06-01,110625,20740,90583
2000-07-01,112461,21066,92093
2000-08-01,114879,21587,93990
2000-09-01,116828,22055,95471
2000-10-01,118697,22550,96845
2000-11-01,120218,23151,97765
2000-12-01,121214,23631,98281
2001-01-01,122178,24092,98784
2001-02-01,110398,24560,86536
2001-03-01,111798,24985,87511
2001-04-01,113185,25580,88303
2001-05-01,113931,25933,88696
2001-06-01,114773,26670,88801
2001-07-01,116007,27131,89574
2001-08-01,117270,27574,90394
2001-09-01,118529,28037,91190
2001-10-01,119324,28462,91560
2001-11-01,119704,28835,91567
2001-12-01,119346,29185,90859
2002-01-01,119557,29674,90581
2002-02-01,120489,30285,90902
2002-03-01,121411,30726,91383
2002-04-01,122475,31200,91973
2002-05-01,122988,31645,92041
2002-06-01,122619,32000,91317
2002-07-01,123677,32524,91851
2002-08-01,125165,33122,92741
2002-09-01,107547,33443,74802
2002-10-01,108707,34001,75404
2002-11-01,108844,34322,75220
2002-12-01,107441,34407,73732
2003-01-01,107664,34917,73445
2003-02-01,108838,35522,74014
2003-03-01,110143,36174,74667
2003-04-01,111939,37208,75429
2003-05-01,103924,37241,67381
2003-06-01,103442,37582,66558
2003-07-01,104841,38256,67283
2003-08-01,106628,39182,68144
2003-09-01,107965,39956,68707
2003-10-01,109563,40823,69438
2003-11-01,110743,42040,69401
2003-12-01,109698,42242,68154
2004-01-01,110390,42741,68347
2004-02-01,112210,43624,69284
2004-03-01,113984,44578,70104
2004-04-01,116386,45794,71290
2004-05-01,117147,46404,71441
2004-06-01,112214,46492,66420
2004-07-01,114314,47555,67457
2004-08-01,116130,48612,68216
2004-09-01,117748,49478,68968
2004-10-01,119641,50495,69844
2004-11-01,120344,51062,69980
2004-12-01,119586,51283,69001
2005-01-01,122040,52658,70080
2005-02-01,124530,54271,70957
2005-03-01,123426,55256,68868
2005-04-01,126028,56684,70042
2005-05-01,128492,58320,70870
2005-06-01,129682,59675,70705
2005-07-01,133435,61910,72223
2005-08-01,136393,63602,73489
2005-09-01,138415,64794,74319
2005-10-01,140130,65737,75091
2005-11-01,140683,66326,75055
2005-12-01,139489,66497,73690
2006-01-01,139980,67123,73555
2006-02-01,142414,68413,74699
2006-03-01,141802,69495,73005
2006-04-01,144729,71232,74195
2006-05-01,145335,71762,74271
2006-06-01,143900,71465,73133
2006-07-01,145825,72619,73904
2006-08-01,147751,73780,74669
2006-09-01,149858,74961,75595
2006-10-01,151808,76042,76464
2006-11-01,152663,76767,76594
2006-12-01,150644,76099,75243
2007-01-01,151988,76969,75717
2007-02-01,154039,78132,76605
2007-03-01,154175,79236,75637
2007-04-01,156466,80507,76657
2007-05-01,157233,81123,76808
2007-06-01,154761,80090,75369
2007-07-01,156591,81153,76136
2007-08-01,157364,81499,76563
2007-09-01,159040,82473,77265
2007-10-01,160732,83430,78000
2007-11-01,161168,83853,78013
2007-12-01,157357,82122,75933
2008-01-01,157907,82494,76111
2008-02-01,159316,83226,76788
2008-03-01,156202,83368,73532
2008-04-01,157875,84323,74250
2008-05-01,157820,84414,74104
2008-06-01,154071,82551,72218
2008-07-01,154823,83073,72448
2008-08-01,155202,83280,72620
2008-09-01,156585,84105,73178
2008-10-01,158075,84955,73818
2008-11-01,157207,84604,73301
2008-12-01,151584,81730,70552
2009-01-01,151485,81879,70304
2009-02-01,150811,81578,69931
2009-03-01,148128,80913,67913
2009-04-01,149236,81470,68464
2009-05-01,148128,80842,67984
2009-06-01,141390,77226,64862
2009-07-01,142250,77681,65267
2009-08-01,140853,76798,64753
2009-09-01,141611,77212,65097
2009-10-01,142477,77726,65449
2009-11-01,140579,76632,64645
2009-12-01,132847,72227,61318
2010-01-01,132314,71982,61030
2010-02-01,127193,70120,57771
2010-03-01,126673,69711,57660
2010-04-01,127840,70322,58216
2010-05-01,126377,69505,57570
2010-06-01,124594,68727,56565
2010-07-01,125594,69260,57032
2010-08-01,126584,69820,57462
2010-09-01,128521,71422,57797
2010-10-01,129267,71823,58142
2010-11-01,126836,70552,56982
2010-12-01,125328,69924,56102
2011-01-01,124417,69520,55595
2011-02-01,120875,68618,52955
2011-03-01,120970,68650,53018
2011-04-01,122001,69267,53432
2011-05-01,119474,67849,52323
2011-06-01,118670,67528,51840
2011-07-01,120046,68345,52399
2011-08-01,117998,67084,51612
2011-09-01,118773,67536,51935
2011-10-01,119546,68025,52219
2011-11-01,116711,66386,51023
2011-12-01,115178,65669,50207
2012-01-01,113719,64812,49605
2012-02-01,107380,62068,46010
2012-03-01,107393,62019,46072
2012-04-01,108192,62481,46409
2012-05-01,105577,60884,45391
2012-06-01,104304,60242,44760
2012-07-01,104783,60488,44993
2012-08-01,99228,57205,42721
2012-09-01,99803,57552,42949
2012-10-01,100459,57999,43158
2012-11-01,97302,56177,41823
2012-12-01,95443,55183,40958
2013-01-01,94218,54471,40445
2013-02-01,84593,49676,35615
2013-03-01,84276,49460,35514
2013-04-01,84569,49649,35618
2013-05-01,82187,48265,34620
2013-06-01,80937,47691,33944
2013-07-01,81178,47841,34035
2013-08-01,77569,45659,32608
2013-09-01,77632,45709,32621
2013-10-01,77654,45727,32625
2013-11-01,74409,43827,31280
2013-12-01,71782,42292,30188
2014-01-01,70564,41573,29689
2014-02-01,63927,38584,26041
2014-03-01,63213,38119,25792
2014-04-01,63280,38172,25806
2014-05-01,60522,36517,24703
2014-06-01,56822,33964,23556
2014-07-01,56689,33812,23575
2014-08-01,52942,31538,22102
2014-09-01,52948,31539,22107
2014-10-01,52654,31431,21921
2014-11-01,48973,29246,20425
2014-12-01,45751,27299,19150
2015-01-01,43712,25996,18414
2015-02-01,38719,22956,16461
2015-03-01,34997,21684,14011
2015-04-01,34959,21659,13998
2015-05-01,32022,19878,12842
2015-06-01,29229,18154,11773
2015-07-01,29160,18112,11746
2015-08-01,24867,15497,10068
2015-09-01,24819,15462,10055
2015-10-01,24717,15407,10008
2015-11-01,20899,13079,8518
2015-12-01,16906,10569,7035
2016-01-01,14700,9169,6229
2016-02-01,12439,7929,5208
2016-03-01,12222,7793,5127
2016-04-01,12180,7772,5106
2016-05-01,8831,5650,3879
2016-06-01,8816,5642,3872
2016-07-01,8767,5613,3852
2016-08-01,6948,4540,3106
2016-09-01,6939,4536,3101
2016-10-01,6895,4522,3071
2016-11-01,5045,3328,2415
2016-12-01,5041,3326,2413
